Trial,Timestep,"ESG.Economies.GBP.RealSpotRate(Govt, 10, 1)"
66,0,-0.0197968096029223,
66,1,-0.0261136373727112,
66,2,-0.0243663814035053,
66,3,-0.0242043046314879,
66,4,-0.0268775864722343,
66,5,-0.0104741394587646,
66,6,-0.00916374372056905,
66,7,-0.00580443889442062,
66,8,-0.000734923833245471,
66,9,-0.00759568303308489,
66,10,-0.013234858968485,
67,0,-0.0197968096029223,
67,1,-0.0148883544042004,
67,2,-0.0148406798668845,
67,3,-0.0115326192016239,
67,4,-0.0155172679545416,
67,5,-0.00518335325206287,
67,6,-0.0137268715848369,
67,7,-0.0222556175807909,
67,8,-0.014877465365168,
67,9,-0.0142613103410971,
67,10,-0.0224646043267543,
68,0,-0.0197968096029223,
68,1,-0.0193066965587336,
68,2,-0.0154550131645974,
68,3,-0.0159386988767601,
68,4,-0.00992025164128307,
68,5,-0.0187575276673888,
68,6,-0.00921305771141467,
68,7,0.0001791468124972,
68,8,-0.00678614469400829,
68,9,-0.00703947271515071,
68,10,0.00154906706855673,
69,0,-0.0197968096029223,
69,1,-0.0211920109555814,
69,2,-0.0168520336254893,
69,3,-0.0219672103426599,
69,4,-0.0212918107411961,
69,5,-0.0220616863410691,
69,6,-0.0275538075111093,
69,7,-0.0276093185081409,
69,8,-0.0221825985188491,
69,9,-0.016385300555105,
69,10,-0.0122718091388789,
70,0,-0.0197968096029223,
70,1,-0.0129908983262651,
70,2,-0.0134408013394036,
70,3,-0.00543978979771531,
70,4,-0.0040786147449704,
70,5,-0.00182216778037869,
70,6,0.00487466012163984,
70,7,0.00568584296634267,
70,8,0.000634013151516566,
70,9,-0.00489530138054239,
70,10,-0.00878635172954145,
71,0,-0.0197968096029223,
71,1,-0.0115472154336465,
71,2,-0.0086321830112891,
71,3,-0.00787508852400121,
71,4,-0.0122220898425773,
71,5,-0.0204785465260918,
71,6,-0.00749697222049228,
71,7,-0.00557301753517303,
71,8,-0.00453447448165223,
71,9,0.00409255635621641,
71,10,0.00790145493818351,
72,0,-0.0197968096029223,
72,1,-0.0226216071598773,
72,2,-0.021620781661629,
72,3,-0.019566502549349,
72,4,-0.0132231085713098,
72,5,-0.00343546074400924,
72,6,-0.0154321852799967,
72,7,-0.0165999520800956,
72,8,-0.0171057404886114,
72,9,-0.0251898564005119,
72,10,-0.0286256074279816,
73,0,-0.0197968096029223,
73,1,-0.0142559000202821,
73,2,-0.0159311077736531,
73,3,-0.00155934017194437,
73,4,0.00362685128878759,
73,5,0.00277348818501988,
73,6,0.00396548740952696,
73,7,0.00823064151386976,
73,8,0.00624866723120387,
73,9,-0.00764851907629471,
73,10,-0.0111239967385027,
74,0,-0.0197968096029223,
74,1,-0.019935910346626,
74,2,-0.014364057706504,
74,3,-0.0257683445765874,
74,4,-0.0288059607458621,
74,5,-0.0265435240620613,
74,6,-0.0266731780937672,
74,7,-0.0300636561289197,
74,8,-0.0276386121675646,
74,9,-0.0136563225182174,
74,10,-0.00993687749126937,
75,0,-0.0197968096029223,
75,1,-0.0165345634888503,
75,2,-0.0324217529834629,
75,3,-0.0292812960233725,
75,4,-0.0267540942789476,
75,5,-0.0187654332484206,
75,6,-0.0142740189143368,
75,7,-0.0131682566335545,
75,8,-0.00566297116088599,
75,9,-0.00230936017716099,
75,10,0.000320464664829823,
76,0,-0.0197968096029223,
76,1,-0.017665127708986,
76,2,0.00243434870715431,
76,3,0.00205393476146676,
76,4,0.00151093354451626,
76,5,-0.00517533824333904,
76,6,-0.00866310119207903,
76,7,-0.0090311253337737,
76,8,-0.0159902304797046,
76,9,-0.0189347579500324,
76,10,-0.0212639867454129,
77,0,-0.0197968096029223,
77,1,-0.016432966899796,
77,2,-0.0117010414772475,
77,3,-0.00824577256274683,
77,4,-0.0140746282890886,
77,5,-0.00882161689458094,
77,6,-0.00974388308886653,
77,7,-0.00450244052783233,
77,8,-4.8932472955121E-05,
77,9,0.00238099961285587,
77,10,-0.00479243245748318,
78,0,-0.0197968096029223,
78,1,-0.0177665970232017,
78,2,-0.0185827258980132,
78,3,-0.0192000498148891,
78,4,-0.0113689701324864,
78,5,-0.015155735222726,
78,6,-0.0131981812826808,
78,7,-0.0176575191934485,
78,8,-0.0215147697244608,
78,9,-0.0235253766513762,
78,10,-0.0162357125352093,
79,0,-0.0197968096029223,
79,1,-0.0108959579626141,
79,2,-0.0135795570855701,
79,3,-0.00440448711863894,
79,4,0.00333335999403395,
79,5,-0.00900183173532754,
79,6,-0.0130675074601561,
79,7,-0.0267885559042141,
79,8,-0.0308320516157231,
79,9,-0.0338349683616282,
79,10,-0.0231092303663728,
80,0,-0.0197968096029223,
80,1,-0.0232651440915954,
80,2,-0.0167137382052693,
80,3,-0.0229842498474145,
80,4,-0.0285218707241375,
80,5,-0.0149766394806543,
80,6,-0.00987499697259553,
80,7,0.00483769292021141,
80,8,0.00956428883626215,
80,9,0.0130770385976231,
80,10,0.00220996450832889,
81,0,-0.0197968096029223,
81,1,-0.0170848074003027,
81,2,-0.0156003302856067,
81,3,-0.0195662666199012,
81,4,-0.0109515088788497,
81,5,-0.00484014619389239,
81,6,-0.00975950442373064,
81,7,-0.00897075803523739,
81,8,-0.0150170059354126,
81,9,-0.0194363980410892,
81,10,-0.0287855722259869,
82,0,-0.0197968096029223,
82,1,-0.0171152086655577,
82,2,-0.0146952506062482,
82,3,-0.00787532726678875,
82,4,-0.0144907713249068,
82,5,-0.019095934950393,
82,6,-0.0131826141939548,
82,7,-0.0132283682467484,
82,8,-0.0066454380741181,
82,9,-0.0017989581773239,
82,10,0.00806746230796485,
83,0,-0.0197968096029223,
83,1,-0.0151895063366706,
83,2,-0.00110782728073644,
83,3,-0.0125013094873909,
83,4,-0.00430118957043213,
83,5,-0.000234634275698586,
83,6,-0.0115233361100987,
83,7,-0.010045980503264,
83,8,-0.00872950235214076,
83,9,-0.00734489775400649,
83,10,-0.00738316357081292,
84,0,-0.0197968096029223,
84,1,-0.0190068036500044,
84,2,-0.0289906194471403,
84,3,-0.0149733805101073,
84,4,-0.0210730339362823,
84,5,-0.0236145605370253,
84,6,-0.0114217433132059,
84,7,-0.0121566022774444,
84,8,-0.0129461606139178,
84,9,-0.0139580133783258,
84,10,-0.0136680865851133,
85,0,-0.0197968096029223,
85,1,-0.0211834925757511,
85,2,-0.0192964913315258,
85,3,-0.016897485554352,
85,4,-0.0167923763718745,
85,5,-0.0172304904219949,
85,6,-0.0192288794332329,
85,7,-0.0244121997543143,
