Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
40,7,0.251261840454056,
40,8,0.202345482974695,
40,9,0.15716801035448,
40,10,0.130760675969864,
41,0,0.109142808879906,
41,1,0.146850583673373,
41,2,0.117983424847799,
41,3,0.275322775970101,
41,4,0.277272129855946,
41,5,0.364302783754605,
41,6,0.32940594492723,
41,7,0.310994981619516,
41,8,0.26150673375787,
41,9,0.318667230694552,
41,10,0.313961820170109,
42,0,0.109142808879906,
42,1,0.126083600198995,
42,2,0.137853204347176,
42,3,0.131988870830056,
42,4,0.105556663763159,
42,5,0.0634628848386363,
42,6,0.0790846169740922,
42,7,0.241705193759841,
42,8,0.134156174822676,
42,9,0.096478685784005,
42,10,0.158989278424496,
43,0,0.109142808879906,
43,1,0.170501867550925,
43,2,0.159207107350803,
43,3,0.169233469739063,
43,4,0.292693615400256,
43,5,0.403207799849092,
43,6,0.27894844629693,
43,7,0.101580599122479,
43,8,0.100338083789116,
43,9,0.198265025657221,
43,10,0.30279771452737,
44,0,0.109142808879906,
44,1,0.0665914230672679,
44,2,0.124487060180838,
44,3,0.122291935100562,
44,4,0.0754683723650914,
44,5,0.0665403038108322,
44,6,0.192335519935941,
44,7,0.358297577544928,
44,8,0.431780518935181,
44,9,0.341277500033302,
44,10,0.193652409572888,
45,0,0.109142808879906,
45,1,0.114620928272842,
45,2,0.143379244102018,
45,3,0.179821789279005,
45,4,0.352976228880205,
45,5,0.382764182003068,
45,6,0.488103516326752,
45,7,0.502082864886062,
45,8,0.452199630010552,
45,9,0.497093914019605,
45,10,0.573604247264276,
46,0,0.109142808879906,
46,1,0.10452983754241,
46,2,0.164260590233176,
46,3,0.166991040778221,
46,4,0.053720513752871,
46,5,0.0973484115901788,
46,6,0.0554422813198559,
46,7,0.106498649864576,
46,8,0.17533313670013,
46,9,0.0747943284685717,
46,10,0.0713647349489458,
47,0,0.109142808879906,
47,1,0.099377013530085,
47,2,0.192730017544293,
47,3,0.164238167795177,
47,4,0.141969914751493,
47,5,0.183047770293807,
47,6,0.272063024381806,
47,7,0.199644240649749,
47,8,0.304298513056209,
47,9,0.316920872017845,
47,10,0.330883697389524,
48,0,0.109142808879906,
48,1,0.13690624797546,
48,2,0.10590583587199,
48,3,0.206665847775174,
48,4,0.24233573216441,
48,5,0.187114772430019,
48,6,0.177180308760877,
48,7,0.17181618211004,
48,8,0.160033910589917,
48,9,0.115256288275326,
48,10,0.157530072117771,
49,0,0.109142808879906,
49,1,0.119418064057819,
49,2,0.136807559753235,
49,3,0.284752863326047,
49,4,0.188434095365062,
49,5,0.0702686249403787,
49,6,0.0821473492509505,
49,7,0.10919260695019,
49,8,0.180479065463659,
49,9,0.195735761416998,
49,10,0.138386574551187,
50,0,0.109142808879906,
50,1,0.114150644962384,
50,2,0.156207570379453,
50,3,0.076808856584676,
50,4,0.205402643625302,
50,5,0.354040886629179,
50,6,0.409978201951711,
50,7,0.357620252082295,
50,8,0.330908037840953,
50,9,0.306254318687939,
50,10,0.395207136453381,
51,0,0.109142808879906,
51,1,0.106502559160371,
51,2,0.151490768311709,
51,3,0.115431999049885,
51,4,0.195840841262598,
51,5,0.205867269206127,
51,6,0.208102185707241,
51,7,0.222299689221811,
51,8,0.243940743331603,
51,9,0.21859714271371,
51,10,0.180586631827802,
52,0,0.109142808879906,
52,1,0.152032954250837,
52,2,0.197713114637795,
52,3,0.190021079753097,
52,4,0.0725618154258943,
52,5,0.180285507447256,
52,6,0.246916480095282,
52,7,0.241116036120063,
52,8,0.179564360033649,
52,9,0.256386178242638,
52,10,0.396322475581666,
53,0,0.109142808879906,
53,1,0.121956086680551,
53,2,0.201410134085731,
53,3,0.199030305781499,
53,4,0.366664546174816,
53,5,0.317434848596365,
53,6,0.316781148800744,
53,7,0.373820014973261,
53,8,0.441739301182255,
53,9,0.548950523295773,
53,10,0.610239659254051,
54,0,0.109142808879906,
54,1,0.135845305478731,
54,2,0.135364571508384,
54,3,0.0835219359380991,
54,4,0.0798313574064071,
54,5,0.0780407326001803,
54,6,0.124881578046577,
54,7,0.108355240481029,
54,8,0.0280927088096382,
54,9,0.0368801662495678,
54,10,0.0928163438322339,
55,0,0.109142808879906,
55,1,0.0663089159140789,
55,2,0.0985149294366329,
55,3,0.213506206743493,
55,4,0.0832872334272007,
55,5,0.132568426923737,
55,6,0.239245705572342,
55,7,0.253648182758026,
55,8,0.276388092089742,
55,9,0.242287349958194,
55,10,0.215081680399575,
56,0,0.109142808879906,
56,1,0.175799725979285,
56,2,0.246933532698635,
56,3,0.219089714115046,
56,4,0.304241079279204,
56,5,0.294025447043117,
56,6,0.270147278283931,
56,7,0.196377904725343,
56,8,0.107229650232614,
56,9,0.223541534086803,
56,10,0.220995263532003,
57,0,0.109142808879906,
57,1,0.0725481376825735,
57,2,0.101436402369412,
57,3,0.12605659374102,
57,4,0.19851358206096,
57,5,0.235573756186153,
57,6,0.233292433343162,
57,7,0.275416519259947,
57,8,0.315035232815899,
57,9,0.408892028846574,
57,10,0.447848525121067,
58,0,0.109142808879906,
58,1,0.154028176226968,
58,2,0.176866644975906,
58,3,0.156311128552956,
58,4,0.169690742378995,
58,5,0.10638346550548,
58,6,0.127074359791209,
58,7,0.135929132440012,
58,8,0.109469167882026,
58,9,0.118589274525909,
58,10,0.047850859273676,
59,0,0.109142808879906,
59,1,0.0706610691581129,
59,2,0.108929570576581,
59,3,0.138329648557923,
59,4,0.255860605382772,
59,5,0.207083068418921,
59,6,0.171739541080577,
59,7,0.252504832061235,
59,8,0.240867430303436,
59,9,0.295744719589375,
59,10,0.231803825703857,
60,0,0.109142808879906,
60,1,0.172467919073948,
60,2,0.258975435375625,
60,3,0.214479105585438,
60,4,0.162212218284152,
60,5,0.13278961145634,
60,6,0.173704825603127,
60,7,0.128410033587149,
60,8,0.163690401762891,
60,9,0.169689001305738,
60,10,0.0993022503200116,
61,0,0.109142808879906,
61,1,0.137235082466943,
61,2,0.083064572758498,
61,3,0.143014632164864,
61,4,0.13910039060755,
61,5,0.219746837125993,
61,6,0.24432906715564,
61,7,0.256654582809337,
61,8,0.134219522135937,
61,9,0.123309102826625,
61,10,0.0711470384470353,
62,0,0.109142808879906,
62,1,0.137905431795784,
62,2,0.199477273558425,
62,3,0.232712747718887,
62,4,0.172823438695395,
62,5,0.190149368639067,
62,6,0.195183952729903,
62,7,0.216256086648801,
62,8,0.297704853899984,
62,9,0.372852546095903,
62,10,0.385418275210813,
63,0,0.109142808879906,
63,1,0.143278264962313,
63,2,0.144542331424658,
63,3,0.13283273793452,
63,4,0.105620913172327,
63,5,0.0771745899182379,
63,6,0.0828242729421996,
63,7,0.149716068307692,
63,8,0.119343087889996,
63,9,0.201642749714944,
63,10,0.284296107739169,
64,0,0.109142808879906,
64,1,0.100539412082212,
64,2,0.225569812502231,
64,3,0.225131700758514,
64,4,0.295526406503722,
64,5,0.375650667277824,
64,6,0.378975270795601,
64,7,0.366652844891759,
64,8,0.336373768954461,
64,9,0.30437324831538,
64,10,0.175007950392396,
65,0,0.109142808879906,
65,1,0.126230335449162,
65,2,0.152540706543737,
65,3,0.108608384652934,
65,4,0.158537390460087,
65,5,0.126874055729213,
65,6,0.0632086552365513,
65,7,0.181459867491133,
65,8,0.376964596419191,
65,9,0.405944508079572,
65,10,0.359513552653931,
66,0,0.109142808879906,
66,1,0.0991719657426973,
66,2,0.168919308576215,
66,3,0.212595304674491,
66,4,0.238945988624013,
66,5,0.17580456657865,
66,6,0.270451123110977,
66,7,0.180223773961188,
66,8,0.0655840878401766,
66,9,0.104067221854872,
66,10,0.131349810762224,
67,0,0.109142808879906,
67,1,0.08842619970891,
67,2,0.0669252900523042,
67,3,0.0512711244842829,
67,4,0.0673923591552545,
